"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Nsd2",0.0197938795142334,0.0209865724410407,0.517234938137878,0.612008118472687,0.958716385238275,-5.96261281795844
"Ptpn22",-0.0128150487395111,0.00809048427952204,-0.517149271339798,0.612066577582418,0.958716385238275,-5.96265676785491
"Treml2",-0.0143937848493363,0.0124814160157876,-0.517120070689752,0.612086504753879,0.958716385238275,-5.96267174714605
"Dpcd",-0.0116190821050715,0.00712248840835633,-0.517109649283731,0.612093616628679,0.958716385238275,-5.96267709290032
"Nrl",-0.0176382291050045,0.0232086702849307,-0.517037340848619,0.61214296313981,0.958716385238275,-5.96271418129921
"Tyw5",0.0155418455560625,0.00977290848011707,0.517021315711965,0.612153899670915,0.958716385238275,-5.96272240022458
"Slc43a1",0.0155880359086421,0.00870956522324618,0.517005402415225,0.612164759969309,0.958716385238275,-5.96273056154636
"Syt16",-0.0190394722907399,0.0193720286966573,-0.516984063557461,0.612179323180053,0.958716385238275,-5.96274150505028
"Mettl11b",-0.0122287357391175,0.00882265745632719,-0.516940311689727,0.612209183207082,0.958716385238275,-5.96276394156642
"Olfr728",-0.0180794092897265,0.0156173549417864,-0.516902773122843,0.612234803307058,0.958716385238275,-5.96278319036086
"Tmem167b",0.011653919706689,0.0109682200497993,0.516850429024521,0.612270529060285,0.958716385238275,-5.96281002879055
"Gjd3",-0.0205462872162203,0.0222206014464052,-0.516786948240464,0.612313857149112,0.958716385238275,-5.96284257381956
"Cdh17",-0.0153749084274066,0.0109830603750786,-0.516762411591682,0.612330604758228,0.958716385238275,-5.96285515211841
"Ugt3a1",0.0188292192474879,0.016170151312478,0.516550610005159,0.612475180184219,0.958716385238275,-5.96296370464765
"Creb3l1",0.0126406434864708,0.0083179864107754,0.516355201763892,0.612608580195109,0.958716385238275,-5.96306381714186
"Actrt1",0.0146180552261275,0.00832939423705774,0.516317044270013,0.612634630942884,0.958716385238275,-5.96308336190389
"Inka1",-0.017755086205895,0.0188423821625669,-0.516158844444503,0.612742642281503,0.958716385238275,-5.96316437901925
"Jsrp1",0.0130050830321371,0.0117567376623994,0.516141418928315,0.612754540161014,0.958716385238275,-5.96317330148868
"Tmem130",-0.0117451022520823,0.00551798104594905,-0.516116151998664,0.61277179223789,0.958716385238275,-5.9631862385173
"Fcsk",0.017425638343274,0.0132198081940341,0.51606278952661,0.612808228520345,0.958716385238275,-5.96321355885444
"Lexm",0.0166685730800773,0.0108639908602452,0.515915141203013,0.612909049327892,0.958736769829379,-5.96328913712224
